Video analysis detailed log

Face Model:	General
Calibration:	-
Start time:	11/15/2018 15:13:07.737
Filename:	
Frame rate:	15.00

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow
00:00:00.000	0.859136000	0.085177400	0.038694270	0.017274020	0.014026560	0.008652445	0.013008420	Male	20 - 30	None	None	No	EasternAsian	-0.324982000	-2.492621000	-1.064394000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.066	0.860787000	0.085183550	0.037575830	0.016989940	0.015195500	0.008963619	0.012837600	Male	20 - 30	None	None	No	EasternAsian	-0.318718600	-2.539646000	-1.074240000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.133	0.862438000	0.085189690	0.036457400	0.016705850	0.016364450	0.009274795	0.012666780	Male	20 - 30	None	None	No	EasternAsian	-0.312438900	-2.586672000	-1.084087000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.200	0.864089000	0.085195840	0.035338960	0.016421770	0.017533400	0.009585969	0.012495960	Male	20 - 30	None	None	No	EasternAsian	-0.306143100	-2.633699000	-1.093934000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.266	0.865740100	0.085201990	0.034220530	0.016137680	0.018702340	0.009897145	0.012325140	Male	20 - 30	None	None	No	EasternAsian	-0.299831000	-2.680727000	-1.103783000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.333	0.867391000	0.085208130	0.033102090	0.015853600	0.019871290	0.010208320	0.012154320	Male	20 - 30	None	None	No	EasternAsian	-0.293502700	-2.727756000	-1.113632000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.400	0.869042100	0.085214270	0.031983650	0.015569510	0.021040240	0.010519500	0.011983500	Male	20 - 30	None	None	No	EasternAsian	-0.287158300	-2.774785000	-1.123483000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.466	0.870693100	0.085220420	0.030865220	0.015285430	0.022209180	0.010830670	0.011812680	Male	20 - 30	None	None	No	EasternAsian	-0.280797600	-2.821815000	-1.133334000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.533	0.872344100	0.085226570	0.029746780	0.015001350	0.023378130	0.011141850	0.011641860	Male	20 - 30	None	None	No	EasternAsian	-0.274420800	-2.868846000	-1.143187000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
00:00:00.600	0.873995100	0.085232710	0.028628350	0.014717260	0.024547080	0.011453020	0.011471040	Male	20 - 30	None	None	No	EasternAsian	-0.268027700	-2.915877000	-1.153040000	Unknown (Open / Closed)	Open	Open	Neutral	Raised
